"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cp","tk"
"N:8, C:3, H:20, W:20, M:1, R:11, S:11","finished","-","omshri","","2020-12-26T12:04:03.000Z","2","","1.3780593872070312","0.9772777557373048"
"N:8, C:1, H:20, W:20, M:1, R:11, S:11","finished","-","omshri","","2020-12-26T12:03:59.000Z","2","","1.978158950805664","1.2178421020507812"
"N:8, C:3, H:20, W:20, M:1, R:8, S:8","finished","-","omshri","","2020-12-26T12:03:55.000Z","2","","1.5692710876464844","0.9467601776123048"
"N:8, C:1, H:20, W:20, M:1, R:8, S:8","finished","-","omshri","","2020-12-26T12:03:51.000Z","2","","1.5914440155029297","0.8535385131835938"
"N:8, C:3, H:20, W:20, M:4, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:47.000Z","2","","1.3082027435302734","0.8029937744140625"
"N:8, C:1, H:20, W:20, M:4, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:43.000Z","2","","1.405477523803711","0.8144378662109375"
"N:8, C:3, H:20, W:20, M:1, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:39.000Z","1","","1.291036605834961","0.6911754608154297"
"N:8, C:3, H:20, W:20, M:1, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:35.000Z","1","","1.868486404418945","1.1417865753173828"
"N:8, C:6, H:10, W:10, M:4, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:31.000Z","1","","1.201152801513672","0.7376670837402344"
"N:8, C:3, H:10, W:10, M:4, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:26.000Z","2","","1.1148452758789062","0.8974075317382812"
"N:8, C:6, H:10, W:10, M:1, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:22.000Z","2","","1.2154579162597656","0.6365776062011719"
"N:8, C:3, H:10, W:10, M:1, R:5, S:5","finished","-","omshri","","2020-12-26T12:03:18.000Z","2","","1.5528202056884766","1.090288162231445"
"N:8, C:3, H:10, W:10, M:8, R:3, S:3","finished","-","omshri","","2020-12-26T12:03:14.000Z","2","","1.5087127685546875","0.8571147918701172"
"N:8, C:1, H:10, W:10, M:8, R:3, S:3","finished","-","omshri","","2020-12-26T12:03:10.000Z","2","","1.6510486602783203","0.7755756378173828"
